Detectors,Iterations,Span,RMSE,Group
90,180,180,87.2630067469241,Detectors
180,180,180,84.7606186568321,Detectors
270,180,180,88.8379893245685,Detectors
360,180,180,89.14312964257822,Detectors
450,180,180,93.5144164859637,Detectors
540,180,180,97.04293725632283,Detectors
630,180,180,99.72907734928177,Detectors
720,180,180,99.90928942125551,Detectors
180,90,180,84.05114077281351,Iterations
180,180,180,84.7606186568321,Iterations
180,270,180,86.66014325409182,Iterations
180,360,180,91.02904623950312,Iterations
180,450,180,94.61471876195637,Iterations
180,540,180,95.17200990448165,Iterations
180,630,180,95.75952803106934,Iterations
180,720,180,96.26145240028455,Iterations
180,180,45,98.29912381105568,Span
180,180,90,112.43487664504366,Span
180,180,135,95.23807457968945,Span
180,180,180,84.7606186568321,Span
180,180,225,83.90632965256927,Span
180,180,270,76.34086271755802,Span
